0v31.4
增加了几个新的中文id和诈骗犯
修复了一些id的颜色错误
|
原id,改id,颜色,称号;
3900927351,付一半专业骗子;
17688867519,付一半专业骗子;
3087873263,检测到盗窃工会箱子的qq;
3831726973,检测到诈骗原晶的qq;
1148226502,检测到偷菜的qq;
3380665776,检测到诈骗原晶的qq;
3151247474,检测到偷拆工会建筑的qq;
|
玩家id,可疑称号,原因;
ndxbb,严重诈骗犯,多次诈骗;
_luoxiaohei,被盗号,被盗号了;
Betrayto,盗窃犯,偷盗工会箱;
mzyzq,盗窃犯,偷盗工会箱;
xyix160,偷菜,多收作物;
dongfengpopo,偷菜,多收作物;
HTMLCC,盗窃犯,偷盗工会箱;
guaixiaobai,诈骗,砸马没丢马;
Baiovo,诈骗犯,买原、代肝未付款跑路;
wxhgby,拆工会,偷拆公会建筑;
SBnb666,偷菜,多吃混沌然后跑路;
